transaction_id,card_id,timestamp,merchant_category,card_present,is_fraud,device_fingerprint,country_code,amount_minor_units
txn_0000532,card_00768,2026-01-19T14:49:27Z,atm_withdrawal,False,False,dev_003972,GB,117752
txn_0000533,card_00598,2026-01-19T02:02:47Z,utilities,True,False,dev_003539,US,18218
txn_0000534,card_00212,2026-01-04T15:26:35Z,fuel,True,False,dev_003641,IN,1880
txn_0000535,card_00770,2026-01-18T04:50:56Z,pharmacy,True,True,dev_002075,GB,13972
txn_0000536,card_00855,2026-01-11T06:29:44Z,travel,True,False,dev_004051,DE,9661
txn_0000537,card_00321,2026-01-03T23:11:50Z,grocery,True,False,dev_004493,SG,392
txn_0000538,card_00644,2026-01-29T18:30:30Z,utilities,True,True,dev_001690,GB,5479
txn_0000539,card_00148,2026-01-28T01:53:51Z,utilities,True,False,dev_002426,AE,2195
txn_0000540,card_00071,2026-01-19T18:00:44Z,pharmacy,False,False,dev_004915,SG,29561
txn_0000541,card_00259,2026-01-14T13:10:57Z,travel,False,False,dev_002100,GB,19713
txn_0000542,card_00005,2026-01-17T22:37:09Z,entertainment,True,False,dev_004275,SG,984
txn_0000543,card_00506,2026-01-20T03:28:29Z,entertainment,True,False,dev_004294,IN,2825
txn_0000544,card_00330,2026-01-09T13:34:17Z,fuel,True,False,dev_001446,DE,5483
txn_0000545,card_00888,2026-01-01T09:46:43Z,atm_withdrawal,False,False,dev_001956,DE,6194
txn_0000546,card_00886,2026-01-26T10:17:41Z,restaurant,True,False,dev_003500,US,3773
txn_0000547,card_00183,2026-01-20T20:28:38Z,grocery,True,False,dev_002888,IN,8719
txn_0000548,card_00751,2026-01-06T04:51:46Z,utilities,True,False,dev_001885,US,17329
txn_0000549,card_00562,2026-01-14T10:34:02Z,atm_withdrawal,True,False,dev_000713,SG,6883
txn_0000550,card_00553,2026-01-15T03:07:59Z,travel,True,False,dev_002152,AE,18444
txn_0000551,card_00014,2026-01-20T09:14:28Z,online_retail,False,False,dev_004758,GB,10097
txn_0000552,card_00132,2026-01-24T16:40:50Z,restaurant,True,False,dev_001687,DE,1804
txn_0000553,card_00653,2026-01-05T13:28:06Z,travel,False,False,dev_000285,US,36677
txn_0000554,card_00234,2026-01-14T09:57:18Z,grocery,False,False,dev_003464,IN,1729
txn_0000555,card_00843,2026-01-19T19:16:47Z,online_retail,True,False,dev_004532,AE,5375
txn_0000556,card_00094,2026-01-10T12:06:07Z,travel,False,False,dev_000684,DE,5029
txn_0000557,card_00004,2026-01-18T04:35:21Z,entertainment,True,False,dev_004963,AE,3506
txn_0000558,card_00243,2026-01-09T16:17:49Z,atm_withdrawal,True,False,dev_000651,GB,11552
txn_0000559,card_00813,2026-01-14T15:39:37Z,travel,True,False,dev_003986,DE,848
txn_0000560,card_00123,2026-01-11T18:36:52Z,fuel,True,False,dev_004337,US,4526
txn_0000561,card_00895,2026-01-20T02:16:15Z,grocery,True,False,dev_004346,AE,4609
txn_0000562,card_00877,2026-01-27T19:56:44Z,grocery,True,False,dev_002332,IN,11269
txn_0000563,card_00134,2026-01-04T20:16:41Z,travel,False,False,dev_004423,US,6341
txn_0000564,card_00300,2026-01-24T22:09:08Z,fuel,True,False,dev_000485,GB,3840
txn_0000565,card_00252,2026-01-06T04:09:24Z,electronics,False,False,dev_000442,AE,6390
txn_0000566,card_00090,2026-01-14T20:29:10Z,grocery,False,False,dev_002206,SG,747
txn_0000567,card_00653,2026-01-12T03:03:53Z,utilities,True,False,dev_001588,US,5824
txn_0000568,card_00462,2026-01-12T07:28:57Z,grocery,False,False,dev_004368,US,1156
txn_0000569,card_00788,2026-01-07T22:18:56Z,utilities,False,False,dev_001063,GB,3291
txn_0000570,card_00201,2026-01-15T03:40:28Z,grocery,False,False,dev_004815,SG,3364
txn_0000571,card_00641,2026-01-15T17:45:52Z,utilities,True,False,dev_001047,SG,18917
txn_0000572,card_00530,2026-01-24T16:33:46Z,online_retail,True,False,dev_002595,GB,26276
txn_0000573,card_00169,2026-01-02T12:38:16Z,restaurant,False,False,dev_000562,IN,11378
txn_0000574,card_00504,2026-01-17T06:14:44Z,atm_withdrawal,True,False,dev_001150,AE,5004
txn_0000575,card_00188,2026-01-27T03:57:52Z,atm_withdrawal,False,False,dev_004754,IN,12648
txn_0000576,card_00672,2026-01-29T16:58:35Z,restaurant,False,False,dev_002006,SG,1394
txn_0000577,card_00466,2026-01-29T14:42:52Z,utilities,True,False,dev_002943,GB,22072
txn_0000578,card_00529,2026-01-10T13:06:22Z,online_retail,False,False,dev_000773,IN,12429
txn_0000579,card_00729,2026-01-29T02:07:18Z,entertainment,True,False,dev_004588,US,15095
txn_0000580,card_00851,2026-01-19T18:25:27Z,grocery,True,False,dev_004011,US,6421
txn_0000581,card_00118,2026-01-30T15:50:52Z,grocery,False,False,dev_000870,DE,476
txn_0000582,card_00897,2026-01-01T14:18:44Z,grocery,True,False,dev_003507,SG,3313
txn_0000583,card_00010,2026-01-25T15:22:14Z,online_retail,True,False,dev_000281,SG,4613
txn_0000584,card_00159,2026-01-12T14:35:13Z,electronics,True,False,dev_001377,SG,56561
txn_0000585,card_00081,2026-01-01T18:14:38Z,online_retail,True,True,dev_002785,IN,3674
txn_0000586,card_00005,2026-01-02T06:05:12Z,online_retail,True,False,dev_004751,US,2138
txn_0000587,card_00555,2026-01-12T11:32:07Z,travel,False,False,dev_001725,DE,1323
txn_0000588,card_00792,2026-01-27T19:19:27Z,electronics,False,False,dev_003386,GB,10554
txn_0000589,card_00588,2026-01-13T03:34:21Z,utilities,True,False,dev_002241,GB,8810
txn_0000590,card_00161,2026-01-18T23:54:11Z,utilities,True,False,dev_001310,DE,2739
txn_0000591,card_00480,2026-01-04T23:47:43Z,fuel,True,False,dev_000698,AE,646
txn_0000592,card_00594,2026-01-08T13:41:38Z,pharmacy,True,False,dev_001373,AE,1246
txn_0000593,card_00145,2026-01-11T10:48:32Z,restaurant,False,False,dev_002490,IN,5277
txn_0000594,card_00261,2026-01-01T08:06:40Z,fuel,False,False,dev_001050,US,2512
txn_0000595,card_00453,2026-01-28T15:23:27Z,restaurant,False,False,dev_004557,AE,49193
txn_0000596,card_00735,2026-01-05T15:44:49Z,restaurant,True,False,dev_001004,AE,87163
txn_0000597,card_00551,2026-01-08T01:23:31Z,grocery,True,False,dev_002961,AE,7560
txn_0000598,card_00593,2026-01-23T23:59:07Z,restaurant,True,False,dev_001993,GB,44839
txn_0000599,card_00185,2026-01-30T19:09:24Z,fuel,True,False,dev_002909,US,4718
txn_0000600,card_00649,2026-01-05T05:53:12Z,electronics,False,False,dev_003919,AE,12825
txn_0000601,card_00715,2026-01-01T20:10:28Z,pharmacy,True,False,dev_000493,GB,5347
txn_0000602,card_00763,2026-01-07T11:08:02Z,fuel,False,False,dev_003722,AE,9362
txn_0000603,card_00072,2026-01-28T16:08:42Z,pharmacy,False,False,dev_000772,SG,965
txn_0000604,card_00290,2026-01-03T05:21:40Z,electronics,True,False,dev_004224,SG,1120
txn_0000605,card_00074,2026-01-20T21:09:29Z,online_retail,True,False,dev_004375,DE,5405
txn_0000606,card_00110,2026-01-06T20:18:19Z,utilities,False,False,dev_001907,GB,16659
txn_0000607,card_00487,2026-01-29T01:32:57Z,atm_withdrawal,False,False,dev_000256,SG,3249
txn_0000608,card_00070,2026-01-02T14:48:13Z,restaurant,False,False,dev_001080,AE,31860
txn_0000609,card_00834,2026-01-22T19:53:37Z,utilities,True,False,dev_001615,US,13133
txn_0000610,card_00464,2026-01-13T01:07:27Z,pharmacy,False,False,dev_000326,DE,4994
txn_0000611,card_00377,2026-01-16T05:01:29Z,pharmacy,True,False,dev_002377,US,1622
txn_0000612,card_00560,2026-01-04T18:19:01Z,utilities,True,False,dev_004812,DE,3295
txn_0000613,card_00017,2026-01-21T10:23:44Z,restaurant,True,False,dev_001098,SG,2289
txn_0000614,card_00537,2026-01-03T07:46:07Z,fuel,True,False,dev_000119,AE,4881
txn_0000615,card_00006,2026-01-02T13:46:01Z,electronics,True,False,dev_003499,AE,1026
txn_0000616,card_00386,2026-01-24T21:57:43Z,fuel,True,False,dev_003701,IN,2157
txn_0000617,card_00228,2026-01-06T02:34:16Z,restaurant,True,False,dev_000224,GB,17830
txn_0000618,card_00225,2026-01-14T04:22:03Z,entertainment,True,False,dev_001862,US,4238
txn_0000619,card_00513,2026-01-25T14:22:45Z,online_retail,False,False,dev_000021,AE,12276
txn_0000620,card_00648,2026-01-26T11:10:15Z,online_retail,False,False,dev_002068,GB,20066
txn_0000621,card_00299,2026-01-30T05:39:35Z,restaurant,False,False,dev_003829,US,1013
txn_0000622,card_00378,2026-01-20T23:19:54Z,utilities,True,False,dev_004023,GB,538
txn_0000623,card_00098,2026-01-28T10:12:00Z,grocery,False,False,dev_002548,GB,3526
txn_0000624,card_00548,2026-01-23T17:48:39Z,pharmacy,True,False,dev_002962,GB,41434
